id_idioma_1;id_idioma_2;ds_frase_idioma_1;ds_frase_idioma_2;ds_frase_idioma_2_observacao;nm_arquivo_imagem;nm_arquivo_som
1;2;Derrama tuas l†grimas.;Eåmo'? nde resa'y...;Citaá∆o: Anch., Doutr. Crist∆, II, 112;;
1;2;A l∆ em roupa transformamos (isto Ç, da l∆ fazemos roupa).;So'o ragñera aobamo åaåmonhang.;Citaá∆o: VLB, I, 136;;
1;2;Embora eles tenham igrejas para ficar rezando, a todos arruinei.;I Tup∆ok åepÇ, Tup∆monget†-nget†bo, aåmomoxy pabenh? ...;Citaá∆o: Anch., Teatro, 132;;
1;2;cera dos ouvidos;apys†-ygugñ†;Citaá∆o: VLB, I, 70;;
1;2;Transformo o ferro em anzol.;Aåmonhang it† pind†ramo.;Citaá∆o: Anch., Arte, 43v;;
1;2;Que ela faáa seu mui belo filho perdoar a n¢s.;...O memby-porangetÇ t'omoåerekñab orÇbo.;Citaá∆o: Anch., Poemas, 114;;
1;2;Estou quieto.;Aåub?.;Citaá∆o: VLB, II, 93;;
1;2;a companheira de minha m∆e;xe sy'yra;Citaá∆o: LÇry, Histoire, 369;;
1;2;da°, desse lugar (que tu dizes);aåp¢ su°;Citaá∆o: VLB, I, 89;;
1;2;Nosso inimigo vencendo para sempre.;...OrÇ sumar∆ reåtyka mem?.;Citaá∆o: Anch., Poemas, 126;;
1;2;Ontem, Ç verdade, alguns sumiram.;KñeåsÇ, rak¢, am‰ kanhemi.;Citaá∆o: Anch., Teatro, 12;;
1;2;a descida dele (p.ex., de um monte);seroapy'ambaba;Citaá∆o: VLB, I, 91;;
1;2;Que Deus dar† para a gente no cÇu?;Mba'epe Tup∆ oåme'eng asÇbe ybakypene?;Citaá∆o: Ar., Cat., 27;;
1;2;Sede corajosos junto de vosso inimigo.;PeåkoetÇ pe robaåara pÇ.;Citaá∆o: Ar., Cat., 89;;
1;2;Vivo mal.;Aåk¢-poxy.;Citaá∆o: Anch., Arte, 10v;;
1;2;Hoje, assim, de modo nenhum nos impedem nossa estada.;Kori, n∆, åandÇ rek¢ åandÇ moarñapa ang†.;Citaá∆o: Anch., Teatro, 148, 2006;;
1;2;Enjoa-te de teu velho modo de ser!;Eåmoting nde rekopñera!;Citaá∆o: Anch., Doutr. Crist∆, II, 111;;
1;2;Por causa disso, com efeito, agora o amo.;Aåp¢ resÇ nh?, ko'y asañsu...;Citaá∆o: Anch., Poemas, 108;;
1;2;Ai, quem me dera ir com ele hoje!;As¢ tem‰ kori ah? ir?mo m∆!;Citaá∆o: VLB, II, 94;;
1;2;meu soltar de grunhidos;xe koror‰-pysyr‰...;Citaá∆o: Anch., Teatro, 162;;
1;2;fedor de boca;åurunema;Citaá∆o: VLB, I, 136;;
1;2;Tu est†s muito feliz, ilusoriamente, envergonhando meus s£ditos.;Nde rory-roryb-a'u, xe boå† momara'a.;Citaá∆o: Anch., Teatro, 172;;
